pca_components,alpha,umap_n_components,umap_n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_clusters,n_outliers,outlier_pct,silhouette_global,min_cluster_silhouette,n_bad_clusters,n_weak_clusters,largest_cluster_pct,davies_bouldin,score,meets_all
60,0.7,30,15,60,30,eom,12,1033,29.304964539007095,0.34133434295654297,0.12879956,0,1,28.113475177304963,0.8094577039640282,-1186.099290780142,False
50,0.5,20,10,60,20,eom,13,1035,29.361702127659573,0.44372278451919556,0.23239931,0,0,12.794326241134751,0.7136613221620708,-1187.2340425531916,False
70,0.7,20,20,60,30,eom,9,1036,29.390070921985817,0.29041787981987,0.089154005,0,2,27.914893617021274,0.9379285807069423,-1187.8014184397164,False
60,0.6,30,20,60,30,eom,6,1036,29.390070921985817,0.4102853238582611,0.3044014,0,0,36.312056737588655,0.7161032795910914,-1187.8014184397164,False
70,0.3,30,20,60,20,eom,10,1037,29.418439716312054,0.35072872042655945,0.14535102,0,1,19.602836879432626,0.7856792675947626,-1188.3687943262412,False
70,0.4,25,10,60,30,eom,11,1037,29.418439716312054,0.38217201828956604,0.19617413,0,1,17.361702127659576,0.7391710704416394,-1188.3687943262412,False
60,0.6,30,15,50,30,eom,7,1038,29.4468085106383,0.39464807510375977,0.2163691,0,0,33.163120567375884,0.6987421677192207,-1188.936170212766,False
50,0.6,30,10,50,50,eom,6,1040,29.50354609929078,0.407691091299057,0.25141028,0,0,35.177304964539005,0.6436048198386758,-1190.0709219858156,False
70,0.4,20,15,50,20,eom,13,1042,29.56028368794326,0.289803683757782,0.05657379,0,3,18.382978723404257,0.8067178802546877,-1191.2056737588653,False
60,0.6,30,15,60,40,eom,6,1043,29.588652482269506,0.4234045743942261,0.32110286,0,0,38.21276595744681,0.6314164239704736,-1191.77304964539,False
50,0.5,30,10,60,30,eom,10,1043,29.588652482269506,0.4283699691295624,0.24620211,0,0,20.9645390070922,0.7598049171933428,-1191.77304964539,False
70,0.3,20,15,60,20,eom,13,1044,29.617021276595747,0.314791738986969,0.0083294455,0,2,17.47517730496454,0.8243128762445467,-1192.340425531915,False
70,0.3,25,15,60,20,leaf,12,1048,29.730496453900706,0.31987035274505615,0.0808596,0,2,19.829787234042552,0.7815473574466257,-1194.6099290780141,False
50,0.5,30,10,60,20,leaf,14,1048,29.730496453900706,0.4372473359107971,0.18282932,0,1,13.106382978723405,0.7080161445952478,-1194.6099290780141,False
70,0.7,20,15,60,20,eom,14,1049,29.75886524822695,0.47995176911354065,0.2342383,0,0,14.75177304964539,0.7374253283530993,-1195.177304964539,False
50,0.3,20,10,60,30,eom,11,1049,29.75886524822695,0.34822532534599304,0.09515984,0,1,18.070921985815602,0.803120279749033,-1195.177304964539,False
70,0.6,20,10,50,50,eom,6,1050,29.78723404255319,0.4161021411418915,0.32124943,0,0,38.638297872340424,0.6143094523254918,-1195.7446808510638,False
70,0.7,25,15,50,20,eom,13,1051,29.815602836879435,0.40629491209983826,0.2551365,0,0,21.70212765957447,0.7784051592814377,-1196.3120567375886,False
70,0.6,20,15,60,40,eom,5,1051,29.815602836879435,0.44571182131767273,0.3742383,0,0,34.09929078014184,0.6645130972212994,-1196.3120567375886,False
50,0.6,20,15,60,30,eom,6,1052,29.843971631205672,0.3945977985858917,0.339259,0,0,33.9290780141844,0.7403712620706774,-1196.8794326241134,False
60,0.4,20,10,50,20,eom,10,1054,29.900709219858157,0.3655344843864441,0.101361096,0,2,17.106382978723406,0.8157702162486968,-1198.0141843971633,False
60,0.6,20,15,60,40,eom,5,1054,29.900709219858157,0.451820969581604,0.3651105,0,0,35.29078014184397,0.642738919588621,-1198.0141843971633,False
50,0.7,30,15,60,20,eom,13,1056,29.95744680851064,0.4196930527687073,0.20411573,0,0,12.680851063829786,0.7991432450030818,-1199.148936170213,False
70,0.4,25,15,50,20,eom,15,1057,29.98581560283688,0.34677979350090027,0.06278889,0,2,17.30496453900709,0.7499745167180281,-1199.7163120567375,False
60,0.5,20,10,60,50,eom,3,674,19.120567375886523,0.4411488473415375,0.41449878,0,0,40.0,0.8019947094437745,-1200.0,False
60,0.3,30,20,50,20,eom,10,1058,30.014184397163117,0.2834661900997162,0.08198997,0,3,20.624113475177307,0.8850153032158079,-1200.2836879432623,False
70,0.7,25,15,60,20,leaf,15,1059,30.04255319148936,0.4650518596172333,0.21448366,0,0,10.808510638297872,0.7551588254217523,-1200.851063829787,False
60,0.3,30,10,60,40,eom,7,1060,30.070921985815602,0.367709219455719,0.17473184,0,1,20.141843971631207,0.793789440632459,-1201.4184397163122,False
60,0.3,30,10,50,30,eom,13,1060,30.070921985815602,0.38837072253227234,0.119030975,0,1,19.5177304964539,0.6784102987794086,-1201.4184397163122,False
60,0.5,20,10,50,20,eom,14,1063,30.156028368794324,0.4295348823070526,0.2546915,0,0,12.822695035460994,0.7107909825446695,-1203.1205673758864,False
60,0.7,25,10,50,30,eom,13,1064,30.18439716312057,0.44296395778656006,0.287728,0,0,22.49645390070922,0.6947199986342849,-1203.6879432624114,False
60,0.4,25,15,50,20,eom,15,1067,30.26950354609929,0.3388669788837433,0.064746276,0,2,16.79432624113475,0.7303858898415284,-1205.3900709219859,False
70,0.4,25,15,60,20,eom,13,1068,30.29787234042553,0.31296759843826294,0.060772795,0,3,18.638297872340427,0.7914712982922253,-1205.9574468085107,False
70,0.3,25,15,50,30,eom,11,1071,30.382978723404257,0.2829742133617401,0.05877906,0,2,20.45390070921986,0.8150224404217489,-1207.659574468085,False
60,0.6,20,10,60,50,eom,5,1071,30.382978723404257,0.44958749413490295,0.35565367,0,0,38.156028368794324,0.6091772235020095,-1207.659574468085,False
50,0.5,20,15,60,30,eom,7,1072,30.411347517730498,0.24045303463935852,0.002065078,0,1,31.971631205673756,0.8456263501572808,-1208.22695035461,False
50,0.3,25,10,60,40,eom,6,1074,30.46808510638298,0.37715092301368713,0.17941123,0,1,23.631205673758863,0.8588328822341075,-1209.3617021276596,False
60,0.4,20,20,60,30,eom,5,1074,30.46808510638298,0.2752748727798462,0.035409816,0,1,33.361702127659576,0.9010519672876953,-1209.3617021276596,False
70,0.5,20,10,50,20,eom,16,1075,30.49645390070922,0.41685938835144043,0.14079049,0,1,14.72340425531915,0.7458593906770349,-1209.9290780141844,False
50,0.3,25,20,60,20,eom,9,1075,30.49645390070922,0.3163236975669861,0.12666237,0,1,19.5177304964539,0.8238600140096815,-1209.9290780141844,False
70,0.4,30,10,60,20,eom,13,1075,30.49645390070922,0.37731850147247314,0.14877997,0,1,11.5177304964539,0.7590113669908511,-1209.9290780141844,False
50,0.3,25,15,60,20,eom,10,1075,30.49645390070922,0.3621666729450226,0.19743873,0,2,19.659574468085104,0.7721454023005446,-1209.9290780141844,False
